Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP,USP
Ellie,Ellie,Charu,Charu,Florence,Florence,Zuo,Zuo,Songran,Songran,San,San,Rachel,Rachel,Nora,Nora,Marco,Marco,Liam,Liam,Laura,Laura,Foad,Foad,Andre,Andre,Beatriz,Beatriz,Carlos_1,Carlos_1,Henrique,Henrique,Pedro,Pedro,Suemy,Suemy,Victor,Victor,Alice,Alice,Bella,Bella,Bruna,Bruna,Bruno,Bruno,Iago,Iago,Matheus,Matheus,Raphaela,Raphaela,Michaela,Michaela,Marcos,Marcos,Felipe,Felipe,Isabella Vieira,Isabella Vieira,Carlos_2,Carlos_2,Daniel Navarro,Daniel Navarro,Debora,Debora,Giovanna victoria,Giovanna victoria,Daniel Ramos,Daniel Ramos,Rakhel,Rakhel,Vanessa,Vanessa,Nilma,Nilma,Jaqueline,Jaqueline,Thiago,Thiago
INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT,INPUT,OUTPUT
LOSE,LOSE,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,LOSE,LOSE,LOSE,LOSE,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE,LOSE
-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1
1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
